"gene_name"	"tot_umis"
"2010315B03RIK;2210418O10RIK;2410141K09RIK;2610008E11RIK;5430403G16RIK;5730507C01RIK;5730552O08RIK;6720489N17RIK;9030624G23RIK;A430033K04RIK;AB010352;AGOS_ACL140C;AGOS_AEL150W;AI506816;AI987944;AT4G31985;AU041133;AW146154;B020011L13RIK;B0393.8;B230307C23RIK;BC002059;BC024063;BC052688;BLF;BRIP1OS;CANFAMV1R558;CANFAMV1R559;CAVPORV1R601;CAVPORV1R602;CAVPORV1R604;CAVPORV1R605;CAVPORV1R606;CAVPORV1R607;CAVPORV1R608;CAVPORV1R609;CAVPORV1R610;CAVPORV1R611;CAVPORV1R612;CAVPORV1R613;CAVPORV1R614;CAVPORV1R615;CAVPORV1R616;CAVPORV1R617;CAVPORV1R618;CAVPORV1R619;CAVPORV1R620;CAVPORV1R621;CAVPORV1R622;CAVPORV1R623;CAVPORV1R625;CAVPORV1R626;CAVPORV1R627;CAVPORV1R628;CAVPORV1R629;CAVPORV1R630;CAVPORV1R631;CAVPORV1R632;CAVPORV1R633;CAVPORV1R635;CAVPORV1R637;CAVPORV1R638;CAVPORV1R639;CAVPORV1R640;CAVPORV1R642;CAVPORV1R643;CAVPORV1R644;CAVPORV1R645;CAVPORV1R646;CAVPORV1R647;CAVPORV1R648;CAVPORV1R657;CAVPORV1R665;CAVPORV1R667;CAVPORV1R668;CAVPORV1R669;CAVPORV1R670;CAVPORV1R671;CAVPORV1R672;CAVPORV1R673;CAVPORV1R674;CAVPORV1R675;CAVPORV1R676;CAVPORV1R677;CAVPORV1R678;CAVPORV1R679;CAVPORV1R680;CAVPORV1R681;CAVPORV1R682;CAVPORV1R683;CAVPORV1R684;CAVPORV1R685;CAVPORV1R686;CAVPORV1R687;CAVPORV1R688;CHE-1;CLAMP;D130040H23RIK;D430020J02RIK;EQUCABV1R902;EQUCABV1R908;EQUCABV1R910;EQUCABV1R911;EQUCABV1R912;EQUCABV1R913;EQUCABV1R914;EQUCABV1R917;EQUCABV1R918;EQUCABV1R919;EQUCABV1R920;EQUCABV1R924;EQUCABV1R926;EQUCABV1R928;EQUCABV1R929;EQUCABV1R930;EQUCABV1R931;EQUCABV1R933;ERV3-1-ZNF117;EU599041;F1C9.36;FELCATV1R1;FELCATV1R12;FELCATV1R13;FELCATV1R14;FELCATV1R16;FELCATV1R17;FELCATV1R2;FELCATV1R3;FELCATV1R5;FELCATV1R6;FELCATV1R7;FELCATV1R8;GIOT1;GM10033;GM10037;GM10130;GM10324;GM10416;GM10778;GM12258;GM13212;GM14124;GM14139;GM14296;GM14305;GM14308;GM14322;GM14325;GM14326;GM14391;GM14393;GM14403;GM14405;GM14410;GM14430;GM14434;GM14440;GM14444;GM14541;GM16386;GM17768;GM19428;GM2007;GM2026;GM20939;GM21297;GM21814;GM2381;GM28455;GM3055;GM32211;GM32687;GM32856;GM3325;GM33887;GM35588;GM3604;GM36298;GM36445;GM38396;GM40035;GM42031;GM43305;GM45871;GM46430;GM4724;GM51425;GM5165;GM53057;GM5784;GM6710;GM6712;GM6871;GM7072;GM9222;GM9805;H2AX.LS;KR-H1;KRBOX4;LOC100124497;LOC100125368;LOC100135213;LOC100150619;LOC100163169;LOC100189617;LOC100191026;LOC100273082;LOC100273170;LOC100282918;LOC100283431;LOC100301947;LOC100336984;LOC100337650;LOC100337651;LOC100786575;LOC100818292;LOC101250808;LOC101509570;LOC101864802;LOC102601057;LOC103518740;LOC103639501;LOC103640422;LOC104266251;LOC105377623;LOC106107199;LOC106354211;LOC110437714;LOC112283447;LOC373183;LOC400682;LOC441666;LOC496795;LOC548014;LOC549508;LOC680200;LOC682870;MGC146893;MONDOMV1R1201;MONDOMV1R1204;MONDOMV1R1205;MONDOMV1R1206;MONDOMV1R1207;MONDOMV1R1208;MONDOMV1R1209;MONDOMV1R1210;MONDOMV1R1211;MONDOMV1R1212;MONDOMV1R1213;MONDOMV1R1214;MONDOMV1R1215;MONDOMV1R1216;MONDOMV1R1217;MONDOMV1R1218;MONDOMV1R1219;MONDOMV1R1220;MONDOMV1R1221;MONDOMV1R1222;MONDOMV1R1223;MONDOMV1R1224;MONDOMV1R1225;MONDOMV1R1226;MONDOMV1R1227;MONDOMV1R1228;MONDOMV1R1229;MONDOMV1R1230;MONDOMV1R1231;MONDOMV1R1232;MONDOMV1R1233;MONDOMV1R1234;MONDOMV1R1235;MONDOMV1R1236;MONDOMV1R1237;MONDOMV1R1239;MONDOMV1R1240;MONDOMV1R1241;MONDOMV1R1242;MONDOMV1R1243;MONDOMV1R1244;MONDOMV1R1245;MONDOMV1R1246;MONDOMV1R1247;MONDOMV1R1249;MONDOMV1R1250;MONDOMV1R1251;MONDOMV1R1252;MONDOMV1R1253;MONDOMV1R1254;MONDOMV1R1255;MONDOMV1R1256;MONDOMV1R1257;MONDOMV1R1258;MONDOMV1R1259;MONDOMV1R1260;MONDOMV1R1261;MONDOMV1R1263;MONDOMV1R1264;MONDOMV1R1265;MONDOMV1R1266;MONDOMV1R1267;MONDOMV1R1268;MONDOMV1R1269;MONDOMV1R1270;MONDOMV1R1271;MONDOMV1R1272;MONDOMV1R1273;MONDOMV1R1274;MONDOMV1R1275;MONDOMV1R1276;MONDOMV1R1277;MONDOMV1R1278;MONDOMV1R1279;MONDOMV1R1280;MONDOMV1R1281;MONDOMV1R1282;MONDOMV1R1283;MONDOMV1R1284;MONDOMV1R1285;MONDOMV1R1286;MONDOMV1R1287;MONDOMV1R1288;MONDOMV1R1289;MONDOMV1R1290;MONDOMV1R1291;MONDOMV1R1292;MONDOMV1R1293;MONDOMV1R1294;MONDOMV1R1295;ORNANAV1R3001;ORNANAV1R3002;ORNANAV1R3003;ORNANAV1R3004;ORNANAV1R3005;ORNANAV1R3006;ORNANAV1R3007;ORNANAV1R3008;ORNANAV1R3010;ORNANAV1R3011;ORNANAV1R3012;ORNANAV1R3013;ORNANAV1R3014;ORNANAV1R3015;ORNANAV1R3016;ORNANAV1R3017;ORNANAV1R3018;ORNANAV1R3019;ORNANAV1R3020;ORNANAV1R3021;ORNANAV1R3022;ORNANAV1R3023;ORNANAV1R3024;ORNANAV1R3026;ORNANAV1R3027;ORNANAV1R3028;ORNANAV1R3029;ORNANAV1R3030;ORNANAV1R3031;ORNANAV1R3032;ORNANAV1R3033;ORNANAV1R3034;ORNANAV1R3035;ORNANAV1R3036;ORNANAV1R3037;ORNANAV1R3038;ORNANAV1R3039;ORNANAV1R3040;ORNANAV1R3041;ORNANAV1R3042;ORNANAV1R3043;ORNANAV1R3044;ORNANAV1R3045;ORNANAV1R3046;ORNANAV1R3047;ORNANAV1R3048;ORNANAV1R3049;ORNANAV1R3050;ORNANAV1R3051;ORNANAV1R3052;ORNANAV1R3053;ORNANAV1R3054;ORNANAV1R3055;ORNANAV1R3056;ORNANAV1R3057;ORNANAV1R3058;ORNANAV1R3059;ORNANAV1R3060;ORNANAV1R3061;ORNANAV1R3063;ORNANAV1R3064;ORNANAV1R3065;ORNANAV1R3066;ORNANAV1R3067;ORNANAV1R3069;ORNANAV1R3070;ORNANAV1R3071;ORNANAV1R3072;ORNANAV1R3073;ORNANAV1R3075;ORNANAV1R3076;ORNANAV1R3077;ORNANAV1R3078;ORNANAV1R3079;ORNANAV1R3080;ORNANAV1R3081;ORNANAV1R3082;ORNANAV1R3083;ORNANAV1R3085;ORNANAV1R3086;ORNANAV1R3087;ORNANAV1R3088;ORNANAV1R3089;ORNANAV1R3090;ORNANAV1R3091;ORNANAV1R3092;ORNANAV1R3093;ORNANAV1R3094;ORNANAV1R3095;ORNANAV1R3097;ORNANAV1R3098;ORNANAV1R3099;ORNANAV1R3100;ORNANAV1R3101;ORNANAV1R3102;ORNANAV1R3103;ORNANAV1R3104;ORNANAV1R3106;ORNANAV1R3107;ORNANAV1R3108;ORNANAV1R3109;ORNANAV1R3110;ORNANAV1R3112;ORNANAV1R3113;ORNANAV1R3114;ORNANAV1R3115;ORNANAV1R3116;ORNANAV1R3117;ORNANAV1R3119;ORNANAV1R3120;ORNANAV1R3121;ORNANAV1R3123;ORNANAV1R3124;ORNANAV1R3126;ORNANAV1R3127;ORNANAV1R3128;ORNANAV1R3129;ORNANAV1R3130;ORNANAV1R3131;ORNANAV1R3132;ORNANAV1R3133;ORNANAV1R3134;ORNANAV1R3135;ORNANAV1R3136;ORNANAV1R3137;ORNANAV1R3138;ORNANAV1R3139;ORNANAV1R3140;ORNANAV1R3141;ORNANAV1R3142;ORNANAV1R3144;ORNANAV1R3145;ORNANAV1R3146;ORNANAV1R3147;ORNANAV1R3148;ORNANAV1R3149;ORNANAV1R3150;ORNANAV1R3151;ORNANAV1R3152;ORNANAV1R3153;ORNANAV1R3154;ORNANAV1R3155;ORNANAV1R3156;ORNANAV1R3157;ORNANAV1R3158;ORNANAV1R3159;ORNANAV1R3160;ORNANAV1R3162;ORNANAV1R3163;ORNANAV1R3164;ORNANAV1R3165;ORNANAV1R3166;ORNANAV1R3167;ORNANAV1R3168;ORNANAV1R3169;ORNANAV1R3170;ORNANAV1R3171;ORNANAV1R3173;ORNANAV1R3174;ORNANAV1R3175;ORNANAV1R3176;ORNANAV1R3177;ORNANAV1R3178;ORNANAV1R3179;ORNANAV1R3180;ORNANAV1R3181;ORNANAV1R3182;ORNANAV1R3184;ORNANAV1R3185;ORNANAV1R3186;ORNANAV1R3187;ORNANAV1R3188;ORNANAV1R3189;ORNANAV1R3190;ORNANAV1R3191;ORNANAV1R3192;ORNANAV1R3193;ORNANAV1R3194;ORNANAV1R3195;ORNANAV1R3196;ORNANAV1R3198;ORNANAV1R3199;ORNANAV1R3200;ORNANAV1R3201;ORNANAV1R3203;ORNANAV1R3204;ORNANAV1R3205;ORNANAV1R3206;ORNANAV1R3207;ORNANAV1R3208;ORNANAV1R3209;ORNANAV1R3210;ORNANAV1R3211;ORNANAV1R3212;ORNANAV1R3213;ORNANAV1R3214;ORNANAV1R3215;ORNANAV1R3216;ORNANAV1R3217;ORNANAV1R3218;ORNANAV1R3219;ORNANAV1R3220;ORNANAV1R3223;ORNANAV1R3226;ORNANAV1R3227;ORNANAV1R3228;ORNANAV1R3229;ORNANAV1R3230;ORNANAV1R3231;ORNANAV1R3232;ORNANAV1R3233;ORNANAV1R3234;ORNANAV1R3235;ORNANAV1R3236;ORNANAV1R3237;ORNANAV1R3238;ORNANAV1R3239;ORNANAV1R3240;ORNANAV1R3241;ORNANAV1R3243;ORNANAV1R3244;ORNANAV1R3245;ORNANAV1R3246;ORNANAV1R3248;ORNANAV1R3249;ORNANAV1R3250;ORNANAV1R3251;ORNANAV1R3252;ORNANAV1R3253;ORNANAV1R3254;ORNANAV1R3255;ORNANAV1R3256;ORNANAV1R3257;ORNANAV1R3258;ORNANAV1R3259;ORNANAV1R3260;ORNANAV1R3261;ORNANAV1R3262;ORNANAV1R3263;ORNANAV1R3264;ORNANAV1R3265;ORNANAV1R3266;ORNANAV1R3267;ORNANAV1R3268;ORNANAV1R3269;ORNANAV1R3270;ORNANAV1R3271;ORNANAV1R3272;ORNANAV1R3273;ORNANAV1R3274;ORNANAV1R3275;ORNANAV1R3276;ORNANAV1R3277;ORNANAV1R3278;ORNANAV1R3279;ORNANAV1R3280;ORNANAV1R3281;ORNANAV1R3282;ORNANAV1R3283;P40;PANTROV1R201;PANTROV1R202;PONPYGV1R1801;PONPYGV1R1802;PONPYGV1R1804;PONPYGV1R1805;RBAK;REX2;RGD1566325;RGD1566386;RPL39L;RPS-0;RPS001;RPS002;RPS0A;RPS0B;RPSA.L;RPSAB;RPSAP52;RPSAP58;RPSAP9;RSL1;RSLCAN18;SI:CH211-161M3.6;SI:CH211-222K6.1;SI:CH73-138E16.2;SI:DKEY-4C15.14;SI:DKEYP-53D3.3;STA;V1RA8;VMN1R1;VMN1R10;VMN1R11;VMN1R12;VMN1R13;VMN1R14;VMN1R15;VMN1R16;VMN1R17;VMN1R18;VMN1R184;VMN1R185;VMN1R19;VMN1R192;VMN1R195;VMN1R2;VMN1R20;VMN1R202;VMN1R204;VMN1R21;VMN1R211;VMN1R215;VMN1R216;VMN1R217;VMN1R218;VMN1R22;VMN1R224;VMN1R225;VMN1R226;VMN1R227;VMN1R228;VMN1R229;VMN1R23;VMN1R230;VMN1R231;VMN1R232;VMN1R233;VMN1R234;VMN1R235;VMN1R236;VMN1R237;VMN1R238;VMN1R24;VMN1R25;VMN1R26;VMN1R27;VMN1R28;VMN1R29;VMN1R3;VMN1R30;VMN1R31;VMN1R33;VMN1R34;VMN1R35;VMN1R36;VMN1R37;VMN1R38;VMN1R39;VMN1R4;VMN1R40;VMN1R41;VMN1R42;VMN1R43;VMN1R44;VMN1R45;VMN1R46;VMN1R47;VMN1R48;VMN1R49;VMN1R5;VMN1R50;VMN1R51;VMN1R52;VMN1R53;VMN1R54;VMN1R55;VMN1R6;VMN1R66;VMN1R67;VMN1R68;VMN1R69;VMN1R7;VMN1R70;VMN1R71;VMN1R72;VMN1R73;VMN1R74;VMN1R75;VMN1R76;VMN1R77;VMN1R78;VMN1R79;VMN1R8;VMN1R80;VMN1R81;VMN1R82;VMN1R83;VMN1R84;VMN1R85;VMN1R86;VMN1R87;VMN1R88;VMN1R89;VMN1R9;VN1R3;VN1R4;VN1R5;VOM1R100;VOM1R101;VOM1R103;VOM1R104;VOM1R105;VOM1R13;VOM1R16;VOM1R17;VOM1R55;VOM1R60;VOM1R9;VOM1R90;VOM1R99;XB5904899.L;XB5970036;XFG 5-1;ZF(C2H2)-13;ZF(C2H2)-138;ZF(C2H2)-14;ZF(C2H2)-19;ZF(C2H2)-7;ZF(C2H2)-8;ZFP101;ZFP109;ZFP111;ZFP114;ZFP119A;ZFP119B;ZFP120;ZFP141;ZFP157;ZFP160;ZFP169;ZFP180;ZFP2;ZFP213;ZFP229;ZFP239;ZFP251;ZFP273;ZFP300;ZFP334;ZFP33B;ZFP345;ZFP347;ZFP354B;ZFP382;ZFP386;ZFP39;ZFP40;ZFP420;ZFP429;ZFP433;ZFP442;ZFP455;ZFP457;ZFP458;ZFP472;ZFP493;ZFP52;ZFP53;ZFP54;ZFP560;ZFP563;ZFP58;ZFP583;ZFP59;ZFP595;ZFP60;ZFP600;ZFP606;ZFP607A;ZFP61;ZFP616;ZFP617;ZFP619;ZFP626;ZFP655;ZFP667;ZFP677;ZFP68;ZFP707;ZFP707L1;ZFP708;ZFP709;ZFP709L1;ZFP712;ZFP715;ZFP719;ZFP729B;ZFP738;ZFP748;ZFP758;ZFP759;ZFP760;ZFP763;ZFP781;ZFP788;ZFP790;ZFP799;ZFP808;ZFP809;ZFP81;ZFP810;ZFP811;ZFP819;ZFP82;ZFP820;ZFP825;ZFP85;ZFP850;ZFP866;ZFP867;ZFP868;ZFP869;ZFP87;ZFP870;ZFP872;ZFP873;ZFP874A;ZFP874B;ZFP882;ZFP9;ZFP930;ZFP931;ZFP932;ZFP933;ZFP934;ZFP935;ZFP936;ZFP937;ZFP938;ZFP939;ZFP940;ZFP941;ZFP942;ZFP943;ZFP945;ZFP946;ZFP947;ZFP948;ZFP949;ZFP950;ZFP951;ZFP952;ZFP953;ZFP954;ZFP955A;ZFP955B;ZFP958;ZFP959;ZFP960;ZFP961;ZFP963;ZFP964;ZFP965;ZFP966;ZFP967;ZFP968;ZFP97;ZFP970;ZFP971;ZFP973;ZFP974;ZFP975;ZFP976;ZFP977;ZFP978;ZFP979;ZFP980;ZFP981;ZFP982;ZFP987;ZFP988;ZFP990;ZFP994;ZFP995;ZFP996;ZG57;ZGC:110181;ZGC:110249;ZGC:112977;ZGC:112998;ZGC:113135;ZGC:113209;ZGC:113220;ZGC:113336;ZGC:113443;ZGC:136308;ZGC:162936;ZGC:162958;ZGC:162962;ZGC:162971;ZGC:171435;ZGC:171551;ZGC:171727;ZGC:172128;ZGC:173517;ZGC:173577;ZGC:173624;ZGC:173705;ZGC:173726;ZGC:173816;ZGC:174224;ZGC:174268;ZGC:174275;ZGC:174288;ZGC:174314;ZGC:174315;ZGC:174623;ZGC:174650;ZGC:174690;ZGC:174696;ZGC:174928;ZGC:175284;ZGC:193790;ZKSCAN3;ZKSCAN7;ZNF100;ZNF1001;ZNF1004;ZNF1005;ZNF1041;ZNF1059;ZNF1068;ZNF1069;ZNF107;ZNF1070;ZNF1077;ZNF1113;ZNF1147;ZNF1156;ZNF1161;ZNF117;ZNF1173;ZNF1174;ZNF124;ZNF136;ZNF138;ZNF14;ZNF155;ZNF16.S;ZNF160;ZNF165;ZNF169;ZNF17;ZNF175;ZNF177;ZNF181;ZNF182;ZNF195;ZNF20;ZNF204P;ZNF208;ZNF222;ZNF226;ZNF227;ZNF229;ZNF230;ZNF233;ZNF25;ZNF252;ZNF252P;ZNF253;ZNF254;ZNF257;ZNF266;ZNF267;ZNF268.S;ZNF271P;ZNF273;ZNF28;ZNF286B;ZNF30;ZNF302;ZNF320;ZNF321P;ZNF334;ZNF337;ZNF33A;ZNF33B;ZNF33BP1;ZNF345;ZNF347;ZNF37A;ZNF383;ZNF391;ZNF41-PS;ZNF417;ZNF419;ZNF429;ZNF43;ZNF432;ZNF433;ZNF439;ZNF44;ZNF440;ZNF441;ZNF442;ZNF443;ZNF45L;ZNF460;ZNF468;ZNF479;ZNF484.L;ZNF485;ZNF486;ZNF487;ZNF491;ZNF492;ZNF493;ZNF501;ZNF506;ZNF519;ZNF525;ZNF529;ZNF534;ZNF544;ZNF551;ZNF554;ZNF555;ZNF559;ZNF559-ZNF177;ZNF561;ZNF562;ZNF563;ZNF564;ZNF568;ZNF568.L;ZNF57;ZNF571;ZNF573;ZNF578;ZNF585B;ZNF585B.L;ZNF585B.S;ZNF587;ZNF587B;ZNF594;ZNF595;ZNF596;ZNF606;ZNF607;ZNF611;ZNF613;ZNF614;ZNF615;ZNF616;ZNF619;ZNF620;ZNF625;ZNF625-ZNF20;ZNF626;ZNF627;ZNF630;ZNF649;ZNF658;ZNF658B;ZNF665;ZNF668.L;ZNF669;ZNF670;ZNF670-ZNF695;ZNF671;ZNF674;ZNF675;ZNF677;ZNF678;ZNF679;ZNF680;ZNF681;ZNF682;ZNF69;ZNF695;ZNF696;ZNF700;ZNF705A;ZNF705B;ZNF705E;ZNF707;ZNF708;ZNF709;ZNF71;ZNF71-SMIM17;ZNF714;ZNF716;ZNF718;ZNF724;ZNF726;ZNF727;ZNF730;ZNF732;ZNF733P;ZNF735;ZNF736;ZNF738;ZNF749;ZNF761;ZNF763;ZNF765;ZNF765-ZNF761;ZNF77;ZNF774;ZNF780A;ZNF781;ZNF788P;ZNF789;ZNF790;ZNF791;ZNF799;ZNF813;ZNF816;ZNF823;ZNF833P;ZNF84-LIKE;ZNF841;ZNF844;ZNF845;ZNF846;ZNF847P;ZNF85;ZNF850;ZNF860;ZNF875;ZNF876P;ZNF878;ZNF883;ZNF888;ZNF891;ZNF90;ZNF91;ZNF98;ZNF983;ZNF99;ZNF990;ZSCAN1;ZSCAN31;ZSCAN5A;ZSCAN5C"	62043
"20ALPHA-HSD;9030611N15RIK;AKR1A1;AKR1A1A;AKR1A1B;AKR1B;AKR1C1;AKR1C1.L;AKR1C12;AKR1C12L1;AKR1C13;AKR1C14;AKR1C15;AKR1C18;AKR1C19;AKR1C2;AKR1C2.L;AKR1C2.S;AKR1C20;AKR1C21;AKR1C3;AKR1C4;AKR1C6;AKR1C6P;AKR1C8P;AKR1C8P.S;AKR1CL;CG10863;CG12766;HSD17B5;LOC100120500;LOC100164695;LOC100809492;LOC101842874;LOC101843311;LOC102117205;LOC527068;LOC538060;LOC734139;LOC782061;LOC782922;LOC785762;PGFS;RGD1564865;XB5836416.L;XB5895996.L;ZGC:56622"	572
"2210016F16RIK"	3
"2210409E12RIK;ELOBL"	1051
"2300003K06RIK;GM10318;GM11554;GM11559;GM11564;GM11565;GM11568;KRTAP10-5;KRTAP10-7;KRTAP10-8;KRTAP31-1;KRTAP31-2;KRTAP4-1;KRTAP4-16;KRTAP4-3;KRTAP4-4;KRTAP4-6;KRTAP4-7;KRTAP4-9;KRTAP4.3;KRTAP9-1;KRTAP9-3;KRTAP9-4;KRTAP9-5;KRTAP9-7;LOC617218;LOC690460"	1
"2310002D06RIK"	0
"2310002L09RIK"	4
"2310034C09RIK;2310057N15RIK;2310061N02RIK;4930553J12RIK;GM20741;KRTAP13;KRTAP13-1;KRTAP13-2;KRTAP13-3;KRTAP13-4;KRTAP23-1"	0
"2410003L11RIK"	0
"2410004I01RIK"	13
